iter	Passed	Remaining
0	176	176822
1	181	90715
2	186	61904
3	192	47845
4	214	42776
5	219	36328
6	224	31818
7	232	28768
8	241	26608
9	247	24466
10	251	22641
11	256	21108
12	261	19889
13	266	18774
14	277	18212
15	282	17374
16	288	16679
17	295	16096
18	303	15659
19	311	15287
20	317	14778
21	322	14344
22	327	13902
23	331	13486
24	336	13106
25	341	12780
26	347	12522
27	353	12285
28	360	12077
29	366	11852
30	371	11612
31	377	11428
32	384	11274
33	389	11069
34	396	10933
35	403	10803
36	410	10687
37	416	10533
38	422	10410
39	428	10285
40	432	10123
41	442	10082
42	446	9945
43	452	9823
44	458	9732
45	465	9643
46	470	9544
47	475	9422
48	479	9306
49	484	9205
50	489	9105
51	493	8998
52	498	8906
53	502	8808
54	507	8724
55	512	8635
56	516	8546
57	521	8470
58	525	8387
59	530	8310
60	534	8234
61	539	8162
62	544	8091
63	548	8021
64	553	7957
65	557	7894
66	562	7831
67	566	7768
68	571	7706
69	575	7644
70	579	7585
71	583	7526
72	588	7470
73	592	7417
74	597	7367
75	601	7316
76	606	7264
77	610	7218
78	615	7171
79	619	7123
80	624	7080
81	628	7033
82	632	6987
83	636	6943
84	641	6901
85	645	6859
86	649	6819
87	654	6779
88	658	6741
89	663	6703
90	667	6664
91	671	6625
92	675	6587
93	679	6553
94	683	6515
95	688	6482
96	692	6448
97	697	6417
98	703	6402
99	707	6371
100	712	6339
101	716	6307
102	720	6275
103	724	6244
104	733	6250
105	737	6224
106	743	6205
107	750	6197
108	754	6169
109	760	6154
110	765	6128
111	769	6099
112	774	6083
113	782	6077
114	786	6055
115	793	6045
116	798	6027
117	805	6022
118	811	6004
119	817	5993
120	823	5979
121	828	5959
122	835	5955
123	841	5944
124	848	5937
125	854	5924
126	859	5906
127	866	5899
128	872	5889
129	879	5885
130	886	5878
131	892	5870
132	899	5862
133	904	5845
134	910	5833
135	915	5815
136	921	5804
137	929	5807
138	936	5799
139	943	5794
140	949	5787
141	955	5771
142	961	5762
143	967	5752
144	974	5745
145	980	5735
146	987	5728
147	995	5730
148	1002	5727
149	1010	5724
150	1016	5713
151	1024	5715
152	1031	5712
153	1038	5707
154	1046	5703
155	1054	5703
156	1058	5684
157	1068	5692
158	1077	5696
159	1087	5708
160	1098	5725
161	1107	5730
162	1116	5732
163	1123	5728
164	1133	5734
165	1140	5729
166	1148	5727
167	1155	5720
168	1165	5729
169	1174	5736
170	1182	5730
171	1190	5728
172	1198	5730
173	1206	5727
174	1214	5726
175	1229	5756
176	1238	5758
177	1247	5762
178	1254	5756
179	1264	5758
180	1273	5761
181	1281	5761
