iter	Logloss
0	0.6763585671
1	0.6603275786
2	0.6460365193
3	0.6326768739
4	0.6205886763
5	0.6088275593
6	0.5979729071
7	0.5894159157
8	0.5807959675
9	0.5720473968
10	0.5642006263
11	0.5569128297
12	0.5499000275
13	0.5447944782
14	0.5391333816
15	0.5334372097
16	0.5291454992
17	0.52475055
18	0.5204658015
19	0.5168671509
20	0.5131141868
21	0.5092706277
22	0.5061670071
23	0.503219112
24	0.5002730707
25	0.4977716308
26	0.4954927254
27	0.4935305888
28	0.4908186331
29	0.4888077854
30	0.4870188328
31	0.4855989656
32	0.4837282027
33	0.4827078518
34	0.4809435792
35	0.4793968861
36	0.4779197028
37	0.4765437972
38	0.475450045
39	0.4743594632
40	0.4734821364
41	0.4722705486
42	0.4712524004
43	0.4704584305
44	0.4695629784
45	0.4688168608
46	0.4679511214
47	0.4674068161
48	0.4666402552
49	0.465889395
50	0.4650958417
51	0.4644497102
52	0.4637485395
53	0.4631038674
54	0.4624100468
55	0.4619236974
56	0.4614795201
57	0.4608747636
58	0.4603198062
59	0.4597746248
60	0.4591624943
61	0.4587018801
62	0.4582709502
63	0.4579332101
64	0.4574755085
65	0.4571023309
66	0.4566383972
67	0.4562052339
68	0.455906444
69	0.4555820645
70	0.4553246881
71	0.4551979379
72	0.4547826374
73	0.4544754801
74	0.4541002702
75	0.4538059421
76	0.4535933393
77	0.4533195832
78	0.4531184346
79	0.4529103657
80	0.4526212746
81	0.452384485
82	0.4521734567
83	0.4519153389
84	0.4516702057
85	0.4515098884
86	0.4513106447
87	0.4511054118
88	0.4509428676
89	0.450684863
90	0.4504652996
91	0.4503072597
92	0.4500733309
93	0.4498498004
94	0.4496527546
95	0.4494109617
96	0.4492790461
97	0.4491925393
98	0.4490110707
99	0.4487477744
100	0.4485701474
101	0.4484685357
102	0.4482453523
103	0.4481319332
104	0.4479592084
105	0.4478111012
106	0.4477017204
107	0.447527514
108	0.4473928867
109	0.4472918751
110	0.4471671527
111	0.4470090851
112	0.4468876209
113	0.4467551344
114	0.4466271392
115	0.4464666622
116	0.4463637491
117	0.4462234753
118	0.446130219
119	0.4459502158
120	0.4457692701
121	0.4456594503
122	0.4454990271
123	0.4453054696
124	0.4452391554
125	0.4451261578
126	0.4450000145
127	0.4448821638
128	0.4447941716
129	0.4446582441
130	0.4445417765
131	0.4444605816
132	0.4443161869
133	0.4442125575
134	0.4441114329
135	0.4439703616
136	0.4438366531
137	0.4437319683
138	0.4436195741
139	0.443505294
140	0.4434433058
141	0.4432967815
142	0.4430761092
143	0.4429757791
144	0.4428823094
145	0.4427958375
146	0.4427012022
147	0.4426059182
148	0.4424995842
149	0.4423739644
150	0.4422854807
151	0.4421817451
152	0.4421182526
153	0.4420275749
154	0.4419203248
155	0.4418205059
156	0.4418152301
157	0.4417280256
158	0.4416106489
159	0.441517052
160	0.4414002389
161	0.4412656274
162	0.4411413244
163	0.4410802561
164	0.440946989
165	0.4408836108
166	0.4407933866
167	0.4407004418
168	0.440573101
169	0.4404950962
170	0.4403837971
171	0.4403019547
172	0.4401945246
173	0.4400966446
174	0.4399783172
175	0.439923629
176	0.4398105944
177	0.4396630147
178	0.4395790092
179	0.4394645016
180	0.4394029555
181	0.4392985685
182	0.4391810921
183	0.4390493135
184	0.4389515121
185	0.4388415758
186	0.4387891833
187	0.4386689998
188	0.4385751294
189	0.4384864967
190	0.4383860849
191	0.4382194214
192	0.4380615772
193	0.4379281226
194	0.4378247528
195	0.4377397927
196	0.4376341975
197	0.4375066763
198	0.4374281337
199	0.4373360281
200	0.437278461
201	0.437170654
202	0.4370534292
203	0.4369263446
204	0.4368413938
205	0.4367525376
206	0.4366961172
207	0.4366160424
208	0.436481211
209	0.4364104416
210	0.4363440984
211	0.4362547796
212	0.4361678123
213	0.4360721306
214	0.4359871462
215	0.4359050665
216	0.4358008027
217	0.435730854
218	0.4356877306
219	0.4356141733
220	0.4355074541
221	0.4354488428
222	0.4352703083
223	0.4351604891
224	0.4351003375
225	0.4349637686
226	0.4348946492
227	0.4348155081
228	0.4347382472
229	0.4346756366
230	0.4345752734
231	0.4344348217
232	0.4343113174
233	0.4342336655
234	0.4340862761
235	0.4340385824
236	0.4339388072
237	0.4338384064
238	0.4337722222
239	0.4337110529
240	0.4336392068
241	0.4335336268
242	0.4334626658
243	0.4333932906
244	0.4332856613
245	0.4332007261
246	0.4330598677
247	0.4329905863
248	0.4329166863
249	0.4328041018
250	0.4326961051
251	0.432643454
252	0.4325536597
253	0.4324588433
254	0.4323809212
255	0.4322876901
256	0.4322068079
257	0.4321339711
258	0.432003361
259	0.4319319027
260	0.4318105315
261	0.4317174603
262	0.4316539032
263	0.4315452848
264	0.4314176169
265	0.4313409509
266	0.4312094866
267	0.4311376823
268	0.4309999036
269	0.4309276921
270	0.4308668669
271	0.4307381951
272	0.4306716079
273	0.4305810252
274	0.4304522151
275	0.4303710407
276	0.4302229566
277	0.4301333793
278	0.4300419258
279	0.4299712307
280	0.4298985273
281	0.4298300915
282	0.4297207031
283	0.429641548
284	0.4295656812
285	0.429488245
286	0.4294056021
287	0.4293088271
288	0.4292219367
289	0.4291703643
290	0.4290942211
291	0.4289847218
292	0.4288999935
293	0.4287745473
294	0.4286933367
295	0.4285321235
296	0.4284709638
297	0.4283491519
298	0.4282322299
299	0.4281394262
300	0.428034512
301	0.4279097928
302	0.4278515532
303	0.4277822681
304	0.4276914489
305	0.427593047
306	0.4274625697
307	0.4273919301
308	0.4273330278
309	0.4272454902
310	0.4270977463
311	0.4269244202
312	0.4268481159
313	0.4267751582
314	0.4266923336
315	0.4266030057
316	0.4265364128
317	0.4264700921
318	0.426383794
319	0.4263105348
320	0.4262510141
321	0.4260851293
322	0.4259280194
323	0.425823349
324	0.4256890119
325	0.4255692928
326	0.4254651475
327	0.4253138513
328	0.4252291029
329	0.4251177435
330	0.4250014367
331	0.4248406684
332	0.4247511582
333	0.4246487193
334	0.4245718217
335	0.4244919244
336	0.4244289668
337	0.4243585864
338	0.4242851967
339	0.4242157211
340	0.4241505051
341	0.4240597047
342	0.4239765215
343	0.423850165
344	0.4237770934
345	0.4236967697
346	0.4235484168
347	0.4234593918
348	0.4233690239
349	0.423294589
350	0.4232148556
351	0.4231521386
352	0.4230948209
353	0.4230362346
354	0.4229078151
355	0.4227742754
356	0.4227057807
357	0.4225975031
358	0.4225106256
359	0.4224371224
360	0.4223569931
361	0.4222463695
362	0.4221335539
363	0.4220663327
364	0.4219992513
365	0.4219259356
366	0.4218395561
367	0.4217343609
368	0.4216725321
369	0.421617615
370	0.4214716983
371	0.4214091551
372	0.421326151
373	0.4212376562
374	0.4210589946
375	0.4208919272
376	0.4208519704
377	0.4207356785
378	0.4206602725
379	0.4205742968
380	0.4204802593
381	0.4204058724
382	0.4203173204
383	0.4202320232
384	0.4200873338
385	0.4199312428
386	0.4198718646
387	0.4198082246
388	0.4197175081
389	0.4195707502
390	0.4194400076
391	0.4193739943
392	0.4192904389
393	0.4191710375
394	0.4190824176
395	0.4189992719
396	0.41883353
397	0.4187417691
398	0.4186407242
399	0.418503988
400	0.4183931277
401	0.4182849457
402	0.41817762
403	0.4181056307
404	0.4179745604
405	0.4179033739
406	0.4178497719
407	0.4177457
408	0.4176713105
409	0.4176113716
410	0.4175049992
411	0.4174559718
412	0.4173585138
413	0.4172292869
414	0.4171576186
415	0.4170472239
416	0.4169369561
417	0.416809713
418	0.4167322543
419	0.416656882
420	0.4165905144
421	0.4165413572
422	0.4164578389
423	0.4163363668
424	0.4162553228
425	0.4161130867
426	0.4160057924
427	0.4159398065
428	0.4158371457
429	0.4157744418
430	0.4156714357
431	0.4155799348
432	0.4154180277
433	0.4153130078
434	0.4152100085
435	0.4151383577
436	0.4150469434
437	0.4149526919
438	0.4148389074
439	0.4147375141
440	0.4146261717
441	0.414540396
442	0.4144506382
443	0.4143903924
444	0.4142888861
445	0.4141537857
446	0.4140679829
447	0.4139655332
448	0.4138927885
449	0.4138143886
450	0.4137274988
451	0.413663804
452	0.4135439389
453	0.413434469
454	0.4133456752
455	0.4132563595
456	0.4131800418
457	0.4131341455
458	0.4130174842
459	0.4129054142
460	0.4128045482
461	0.4127209757
462	0.4126162318
463	0.4125616159
464	0.4125233839
465	0.4124172524
466	0.4122825237
467	0.4121637343
468	0.4120754584
469	0.4119983221
470	0.4119235493
471	0.4118118393
472	0.4117251338
473	0.411616473
474	0.4115445604
475	0.4113938271
476	0.4113291487
477	0.4112171233
478	0.4111425781
479	0.4109971728
480	0.4108873308
481	0.4108369722
482	0.4107516934
483	0.4106585241
484	0.4105812845
485	0.4105056314
486	0.4104165324
487	0.410298325
488	0.410232926
489	0.4101420972
490	0.4100755636
491	0.410015861
492	0.4099363003
493	0.4098814561
494	0.4098289879
495	0.4097672299
496	0.4096583945
497	0.4095419296
498	0.4094252716
499	0.4093475421
500	0.4092270669
501	0.4091684712
502	0.4090743526
503	0.4090005089
504	0.4089376216
505	0.4088145863
506	0.4087394911
507	0.4086232075
508	0.4085397933
509	0.4084834242
510	0.4084023153
511	0.4083336838
512	0.4082327407
513	0.4081501722
514	0.4080863457
515	0.4080339644
516	0.4079694331
517	0.4078815101
518	0.4078109629
519	0.4077171223
520	0.4076027995
521	0.4075235482
522	0.4074099239
523	0.4073322412
524	0.4072264949
525	0.407141817
526	0.4070503219
527	0.4069845742
528	0.4069012869
529	0.4068065127
530	0.4067212861
531	0.4066789587
532	0.4066003439
533	0.4065066679
534	0.4063872949
535	0.4063378389
536	0.4062734587
537	0.4061918798
538	0.4061318723
539	0.4060702144
540	0.4059882899
541	0.4059223375
542	0.4058552863
543	0.4057927908
544	0.4057105141
545	0.4056185021
546	0.4055386157
547	0.4054668276
548	0.4053732492
549	0.4053011606
550	0.4052224373
551	0.4051483858
552	0.4050753328
553	0.4049912319
554	0.4049004659
555	0.4048445491
556	0.4047817331
557	0.4046896945
558	0.4045940232
559	0.4045360158
560	0.4044726185
561	0.4044084152
562	0.4043212843
563	0.4042140588
564	0.4041420126
565	0.4040434675
566	0.4039180737
567	0.4038790251
568	0.4037950191
569	0.4037111533
570	0.4036634959
571	0.4035566915
572	0.4034848061
573	0.4034332791
574	0.4033446336
575	0.4032460541
576	0.403166599
577	0.4030881882
578	0.4030079351
579	0.4029710179
580	0.4028944714
581	0.4028185441
582	0.4027489291
583	0.4026832829
584	0.402611736
585	0.4025093113
586	0.4024636679
587	0.4023896028
588	0.4023295085
589	0.4022187327
590	0.4021224089
591	0.402068679
592	0.4019988189
593	0.4019157954
594	0.4018338176
595	0.4017758623
596	0.4016903219
597	0.4016026133
598	0.4015246446
599	0.4014344183
600	0.4013566418
601	0.4012300437
602	0.401187255
603	0.4011065916
604	0.4010337806
605	0.4008684536
606	0.4007860912
607	0.4006871886
608	0.4006023028
609	0.4005407576
610	0.4004719094
611	0.4004009314
612	0.4003099116
613	0.4002571744
614	0.4001686518
615	0.4000723935
616	0.4000034469
617	0.399945301
618	0.3998783493
619	0.399827438
620	0.3997792335
621	0.3997164161
622	0.3996249193
623	0.3995740925
624	0.3994711197
625	0.3994106508
626	0.3993467454
627	0.3992551638
628	0.3991833366
629	0.3990962496
630	0.3990536839
631	0.3989592541
632	0.398904957
633	0.3988333909
634	0.3987681145
635	0.3986895948
636	0.3986239939
637	0.3985489335
638	0.3984677014
639	0.3983852856
640	0.3982877554
641	0.398197938
642	0.3981030304
643	0.398015846
644	0.3979433418
645	0.3979055056
646	0.3978142701
647	0.3977644734
648	0.3976689365
649	0.3975920915
650	0.3975012436
651	0.3973928596
652	0.3973282865
653	0.3972378719
654	0.3971740295
655	0.3970839738
656	0.3970003233
657	0.3969250122
658	0.3968531563
659	0.3967670612
660	0.3967214025
661	0.3966369952
662	0.3965639824
663	0.3964694401
664	0.3963951102
665	0.3963135403
666	0.3962683341
667	0.3962278531
668	0.3961645441
669	0.3961155908
670	0.3960379563
671	0.3959588209
672	0.3958594018
673	0.3957622009
674	0.395680744
675	0.3956501399
676	0.3955923383
677	0.3955923629
678	0.3955594406
679	0.395498198
680	0.3954045367
681	0.3953413463
682	0.3952712851
683	0.395202016
684	0.3951516383
685	0.3950760778
686	0.395018928
687	0.3949377129
688	0.394872177
689	0.394797772
690	0.3947497545
691	0.3946773393
692	0.3945716139
693	0.3945332034
694	0.3944849086
695	0.3943814877
696	0.3943312194
697	0.3942412554
698	0.3941834468
699	0.3941283932
700	0.3940386295
701	0.3939603772
702	0.3938928903
703	0.3938399216
704	0.3937708495
705	0.3937185779
706	0.3936311571
707	0.3935199157
708	0.3934438096
709	0.3933451436
710	0.3932333975
711	0.3931372342
712	0.3930661769
713	0.3930193379
714	0.392965965
715	0.3929101782
716	0.3928195722
717	0.3927672341
718	0.3927034485
719	0.39264489
720	0.3925730151
721	0.3925278632
722	0.3924800719
723	0.392382411
724	0.3923482425
725	0.3922728352
726	0.3921840068
727	0.3921428912
728	0.39206735
729	0.3920133656
730	0.3919134481
731	0.3918540451
732	0.3917912664
733	0.3917370406
734	0.3916752589
735	0.3916286769
736	0.3915727757
737	0.3915091337
738	0.3914453471
739	0.3913564397
740	0.3912721325
741	0.3912005676
742	0.3911303079
743	0.3910669155
744	0.3910258363
745	0.3909604307
746	0.3908862873
747	0.3908220371
748	0.3907222038
749	0.3906445106
750	0.3905799303
751	0.3905190926
752	0.3904331177
753	0.390385914
754	0.3903138338
755	0.3902399854
756	0.3901855927
757	0.3901129478
758	0.3900572597
759	0.3900203188
760	0.3899466804
761	0.3898888792
762	0.3897932639
763	0.3897243799
764	0.3896282493
765	0.3895467442
766	0.389498534
767	0.3894428649
768	0.3893836924
769	0.3893281362
770	0.3892294992
771	0.3891631507
772	0.3891164367
773	0.3890365472
774	0.3889789568
775	0.3889130491
776	0.388874172
777	0.3887971961
778	0.3887628969
779	0.3886576955
780	0.3885767876
781	0.3885239906
782	0.3884821365
783	0.3884078813
784	0.3883437779
785	0.3882432215
786	0.3881853294
787	0.3881129348
788	0.3880319065
789	0.3879719872
790	0.3879316725
791	0.3878366031
792	0.3877827519
793	0.3876926963
794	0.3876124105
795	0.387542235
796	0.387466232
797	0.3873807595
798	0.3872497722
799	0.3871860516
800	0.3870672912
801	0.3870266753
802	0.3869804774
803	0.3868900661
804	0.3868059501
805	0.386751486
806	0.3867141833
807	0.386689792
808	0.3866146627
809	0.3865546186
810	0.3864887595
811	0.3864461552
812	0.3863851493
813	0.3863311958
814	0.3862309034
815	0.3861868704
816	0.3860576053
817	0.3859847717
818	0.3859190193
819	0.3858094939
820	0.3857312216
821	0.3856705202
822	0.3856328494
823	0.3855795874
824	0.3855375412
825	0.3854385348
826	0.3853600918
827	0.3852926953
828	0.3852258156
829	0.3851683485
830	0.3851158011
831	0.3850812421
832	0.3849981657
833	0.384918008
834	0.3848688726
835	0.3848115677
836	0.38477576
837	0.3846830944
838	0.3846021288
839	0.3845504417
840	0.3844806566
841	0.3843707089
842	0.3842993567
843	0.3842399582
844	0.3841677133
845	0.3840950058
846	0.3840512821
847	0.3839715421
848	0.3839346174
849	0.3838700356
850	0.3838025069
851	0.3837495652
852	0.3837072005
853	0.3836543691
854	0.3836200614
855	0.3835159633
856	0.3834571902
857	0.3833947009
858	0.3833404008
859	0.3832597136
860	0.3832215768
861	0.3831358597
862	0.3830484884
863	0.3830073534
864	0.3829366081
865	0.3829073895
866	0.3828661042
867	0.3828176712
868	0.3827637558
869	0.3826546561
870	0.3825839815
871	0.3825640914
872	0.3825247287
873	0.3824707742
874	0.3824142563
875	0.3823604126
876	0.3823088045
877	0.3822129541
878	0.3821657628
879	0.3821076709
880	0.3820299439
881	0.3819429629
882	0.3818407162
883	0.381770657
884	0.3816604573
885	0.381627198
886	0.3815834456
887	0.3815182655
888	0.3814312803
889	0.3813832425
890	0.3812974312
891	0.3812391922
892	0.3811800159
893	0.3810839309
894	0.3809548065
895	0.3809157583
896	0.3808581707
897	0.3807853454
898	0.3807444449
899	0.3806973375
900	0.3806046185
901	0.3805681848
902	0.3805053066
903	0.3804094339
904	0.3803868035
905	0.3802829617
906	0.3801909166
907	0.3800921843
908	0.3800394563
909	0.3799159631
910	0.3798512799
911	0.379797043
912	0.3797338799
913	0.3796788287
914	0.3796055715
915	0.3794783833
916	0.3794157206
917	0.3792868449
918	0.3792117651
919	0.3791212202
920	0.3790501286
921	0.3789836239
922	0.3789359681
923	0.3788887382
924	0.378794562
925	0.3787055044
926	0.3786551881
927	0.37854712
928	0.3784757858
929	0.3784263949
930	0.3783940365
931	0.3783468412
932	0.3782826397
933	0.3782244166
934	0.3781773994
935	0.3781193523
936	0.3780377499
937	0.3779598834
938	0.3778709604
939	0.3778059069
940	0.3777059972
941	0.3776470486
942	0.3775735084
943	0.3775179799
944	0.3774654215
945	0.3774095342
946	0.3773376116
947	0.3772506629
948	0.3771945359
949	0.3771753348
950	0.3771284472
951	0.3770760707
952	0.3770306278
953	0.3769384937
954	0.376882476
955	0.3767704712
956	0.3766894489
957	0.3766331818
958	0.3765857334
959	0.3765023497
960	0.3764702771
961	0.3763947288
962	0.3763362086
963	0.3763085373
964	0.3762589205
965	0.376184083
966	0.3761190647
967	0.3760575822
968	0.3759928888
969	0.375939435
970	0.3758571418
971	0.3758058024
972	0.3757295835
973	0.3756567188
974	0.3755424721
975	0.3754412894
976	0.3753932398
977	0.3753100565
978	0.3752633733
979	0.3751944218
980	0.3751357349
981	0.3750930123
982	0.3750237337
983	0.3749427959
984	0.3748795148
985	0.3747871244
986	0.37470341
987	0.3746674504
988	0.3746053681
989	0.3745037936
990	0.3744647314
991	0.3744126642
992	0.374364543
993	0.374311695
994	0.374243235
995	0.374170879
996	0.3741209989
997	0.3740736704
998	0.3739943281
999	0.3739550038
