iter	Passed	Remaining
0	91	91828
1	96	48295
2	100	33297
3	103	25784
4	106	21219
5	109	18180
6	112	16015
7	115	14368
8	118	13093
9	121	12073
10	125	11240
11	128	10552
12	131	9977
13	134	9470
14	137	9036
15	140	8652
16	143	8317
17	147	8025
18	150	7759
19	153	7523
20	156	7304
21	159	7110
22	163	6927
23	166	6765
24	169	6613
25	172	6471
26	175	6324
27	178	6198
28	181	6087
29	184	5979
30	188	5880
31	191	5788
32	194	5700
33	196	5583
34	199	5513
35	203	5439
36	206	5368
37	209	5301
38	212	5238
39	215	5177
40	218	5117
41	221	5062
42	225	5010
43	228	4960
44	231	4915
45	234	4865
46	237	4824
47	241	4780
48	244	4747
49	247	4708
50	251	4671
51	254	4633
52	257	4596
53	260	4565
54	263	4533
55	267	4501
56	270	4470
57	273	4442
58	276	4412
59	279	4382
60	282	4355
61	286	4329
62	289	4303
63	292	4278
64	295	4254
65	299	4231
66	302	4208
67	305	4187
68	308	4164
69	312	4149
70	315	4126
71	318	4102
72	321	4081
73	324	4061
74	327	4041
75	330	4022
76	334	4004
77	337	3987
78	340	3970
79	343	3953
80	347	3938
81	350	3922
82	353	3905
83	356	3891
84	360	3877
85	363	3862
86	366	3847
87	369	3833
88	373	3818
89	376	3804
90	379	3789
91	382	3774
92	385	3763
93	388	3749
94	392	3734
95	395	3721
96	398	3707
97	400	3688
98	404	3678
99	407	3665
100	410	3654
101	413	3642
102	416	3630
103	420	3618
104	423	3607
105	426	3595
106	429	3584
107	432	3573
108	435	3561
109	438	3549
110	441	3538
111	444	3527
112	448	3516
113	451	3506
114	454	3499
115	457	3488
116	460	3478
117	464	3468
118	467	3457
119	470	3448
120	473	3439
121	476	3429
122	479	3420
123	482	3411
124	485	3401
125	489	3392
126	492	3382
127	495	3373
128	498	3364
129	501	3356
130	504	3348
131	507	3338
132	510	3331
133	514	3322
134	517	3313
135	520	3306
136	523	3297
137	526	3289
138	529	3281
139	532	3274
140	536	3267
141	539	3259
142	542	3252
143	546	3245
144	549	3238
145	552	3230
146	555	3223
147	558	3215
148	563	3220
149	567	3217
150	572	3216
151	577	3221
152	581	3220
153	585	3219
154	591	3223
155	595	3223
156	597	3208
157	601	3208
158	607	3211
159	612	3215
160	617	3216
161	622	3218
162	626	3218
163	632	3225
164	636	3223
165	640	3218
166	644	3216
167	648	3211
168	652	3210
169	656	3205
170	661	3204
171	664	3201
172	669	3199
173	672	3194
174	676	3191
175	680	3187
176	684	3183
177	688	3177
178	692	3178
179	697	3177
180	701	3174
181	705	3170
182	709	3168
183	713	3166
184	717	3162
185	722	3160
186	726	3157
187	730	3155
188	734	3151
189	738	3149
190	742	3143
191	746	3142
192	750	3137
193	754	3134
194	758	3132
195	763	3129
196	766	3126
197	771	3125
198	775	3120
199	780	3120
200	783	3113
201	787	3112
202	791	3108
203	796	3108
204	799	3101
205	804	3100
206	807	3093
207	812	3093
208	815	3087
209	820	3086
210	824	3082
211	829	3082
212	833	3078
213	837	3077
214	841	3074
215	846	3072
216	850	3069
217	855	3068
218	859	3066
219	864	3065
220	869	3063
221	872	3057
222	877	3058
223	881	3053
224	886	3052
225	890	3048
226	894	3047
227	898	3043
228	903	3041
229	907	3038
230	911	3034
231	915	3030
232	920	3028
233	924	3027
234	928	3022
235	933	3020
236	936	3015
237	941	3014
238	944	3008
239	949	3007
240	953	3001
241	957	2999
242	960	2993
243	965	2991
244	968	2985
245	973	2983
246	976	2977
247	981	2976
248	985	2971
249	990	2970
250	994	2966
251	998	2964
252	1002	2960
253	1007	2958
254	1011	2954
255	1016	2953
256	1021	2953
257	1027	2954
258	1038	2971
259	1048	2982
260	1056	2990
261	1063	2994
262	1070	3000
263	1077	3004
264	1089	3020
265	1097	3027
266	1104	3031
267	1107	3026
268	1112	3022
269	1116	3017
270	1119	3010
271	1124	3008
272	1128	3004
273	1133	3003
274	1139	3003
275	1144	3001
276	1147	2995
277	1151	2991
278	1156	2988
279	1160	2985
280	1164	2978
281	1167	2972
282	1170	2966
283	1175	2963
284	1179	2959
285	1185	2959
286	1189	2955
287	1194	2952
288	1198	2947
289	1201	2942
290	1206	2938
291	1210	2934
